"","genome_length","virion_volume"
"1",94.8,321392
"2",33.59,113040
"3",36.72,113040
"4",132.56,434672
"5",48.5,113040
"6",48.84,113040
"7",121.75,267947
"8",52.3,113040
"9",26.11,87077
"10",41.49,77912
"11",46.38,113040
"12",39.94,113040
"13",41.72,130858
"14",70.15,179503
"15",10.08,91913
"16",40.9,881712
"17",20.87,406944
"18",14.46,87212
"19",194.71,1e+07
"20",288.54,18480000
"21",149.96,16200000
"22",161.77,1.5e+07
"23",146.45,1.5e+07
"24",190.29,1.6e+07
"25",134.72,1.5e+07
"26",232.39,11447917
"27",191.1,3052323
"28",105.9,1766391
"29",35.94,381540
"30",5.24,47693
"31",7.91,87077
"32",1181.55,33496000
"33",2473.87,7.5e+07
